,name,first,middle,last,format
54011,AJ Fonseca,AJ,,Fonseca,0
54012,AJ Matthews,AJ,,Matthews,0
54013,AJ McKee,AJ,,McKee,0
45362,Aad Steylen,Aad,,Steylen,0
461,Aafke Hament,Aafke,,Hament,0
462,Aage Brge Poulsen,Aage,Brge,Poulsen,1
463,Aage Hermann,Aage,,Hermann,0
464,Aage Justesen,Aage,,Justesen,0
465,Aage Walther,Aage,,Walther,0
466,Aagot Norman,Aagot,,Norman,0
53154,Aakash Shyamlal Chopra,Aakash,Shyamlal,Chopra,1
54014,Aalon Cruz,Aalon,,Cruz,0
53155,Aamer Hameed,Aamer,,Hameed,0
467,Aapo Kustaa Perko,Aapo,Kustaa,Perko,1
468,Aarne Anders Pohjonen,Aarne,Anders,Pohjonen,1
50044,Aarne Ruben,Aarne,,Ruben,0
41733,Aaron Abrams,Aaron,,Abrams,0
52800,Aaron Accetta,Aaron,,Accetta,0
286,Aaron Ballard,Aaron,,Ballard,0
47770,Aaron Bare,Aaron,,Bare,0
48007,Aaron Bertram,Aaron,,Bertram,0
469,Aaron Blunck,Aaron,,Blunck,0
51734,Aaron Broten,Aaron,,Broten,0
47074,Aaron Brower,Aaron,,Brower,0
45257,Aaron Carotta,Aaron,,Carotta,0
42383,Aaron Chandler,Aaron,,Chandler,0
470,Aaron Cleare,Aaron,,Cleare,0
48198,Aaron D. Ford,Aaron,D,Ford,4
39150,Aaron D. Wyner,Aaron,D,Wyner,4
471,Aaron Duane Olson,Aaron,Duane,Olson,1
50750,Aaron Durley,Aaron,,Durley,0
472,Aaron E. Pollock,Aaron,E,Pollock,4
473,Aaron Egbele,Aaron,,Egbele,0
54015,Aaron Ely,Aaron,,Ely,0
474,Aaron Feltham,Aaron,,Feltham,0
475,Aaron Fernandes,Aaron,,Fernandes,0
42584,Aaron Fultz,Aaron,,Fultz,0
44457,Aaron Goldberg,Aaron,,Goldberg,0
52916,Aaron Henry Furlong,Aaron,Henry,Furlong,1
51621,Aaron Hosack,Aaron,,Hosack,0
42929,Aaron Hughes,Aaron,,Hughes,0
476,Aaron James Ramsey,Aaron,James,Ramsey,1
53156,Aaron James Redmond,Aaron,James,Redmond,1
477,Aaron James Scott,Aaron,James,Scott,1
54016,Aaron Jeffery,Aaron,,Jeffery,0
478,Aaron John Royle,Aaron,John,Royle,1
479,Aaron Kenneth Myette,Aaron,Kenneth,Myette,1
41818,Aaron LaCrate,Aaron,,LaCrate,0
54017,Aaron Lanfranco,Aaron,,Lanfranco,0
480,Aaron Lowe,Aaron,,Lowe,0
51797,Aaron Marsh,Aaron,,Marsh,0
52207,Aaron Naparstek,Aaron,,Naparstek,0
46270,Aaron North,Aaron,,North,0
481,Aaron Parchem,Aaron,,Parchem,0
46627,Aaron Payne,Aaron,,Payne,0
48312,Aaron Platt,Aaron,,Platt,0
41790,Aaron Poole,Aaron,,Poole,0
482,Aaron Popoola,Aaron,,Popoola,0
52912,Aaron Rahsaan Thomas,Aaron,Rahsaan,Thomas,1
46828,Aaron Rakers,Aaron,,Rakers,0
49543,Aaron Rhodes,Aaron,,Rhodes,0
45645,Aaron Rodgers,Aaron,,Rodgers,0
54018,Aaron Rosa,Aaron,,Rosa,0
45214,Aaron Rosand,Aaron,,Rosand,0
44320,Aaron Rose,Aaron,,Rose,0
483,Aaron Ross Flood,Aaron,Ross,Flood,1
484,Aaron Russell,Aaron,,Russell,0
485,Aaron Teboho Mokoena,Aaron,Teboho,Mokoena,1
51072,Aaron Turner,Aaron,,Turner,0
45131,Aaron Wallace,Aaron,,Wallace,0
42088,Aaron Watson,Aaron,,Watson,0
54019,Aaron Wetherspoon,Aaron,,Wetherspoon,0
34573,"Aarons, Gregory",Gregory,,Aarons,2
27125,"Aarons, Sarah",Sarah,,Aarons,2
19708,"Aaronson, Matt",Matt,,Aaronson,2
20418,"Aarts, Corne",Corne,,Aarts,2
486,Aatto Johannes Nuora,Aatto,Johannes,Nuora,1
37319,"Abany, Suzanne J.",Suzanne,J,Abany,5
30938,"Abarbanel, Carly",Carly,,Abarbanel,2
27675,"Abazeed, Ghyath",Ghyath,,Abazeed,2
38581,Abba Gumel,Abba,,Gumel,0
45643,Abbas Fahdel,Abbas,,Fahdel,0
487,Abbas Fallah,Abbas,,Fallah,0
488,Abbas Mohamed,Abbas,,Mohamed,0
46159,Abbas Suan,Abbas,,Suan,0
489,Abbas Zeghayer,Abbas,,Zeghayer,0
34976,"Abbas, Alyson",Alyson,,Abbas,2
23032,"Abbate, John",John,,Abbate,2
50064,Abbe Lowell,Abbe,,Lowell,0
36272,"Abbot, Beth A.",Beth,A,Abbot,5
27804,"Abbott, Angela",Angela,,Abbott,2
21573,"Abbott, Angela M.",Angela,M,Abbott,5
26123,"Abbott, Brent",Brent,,Abbott,2
28983,"Abbott, Glenn",Glenn,,Abbott,2
23343,"Abbott, Ken",Ken,,Abbott,2
21277,"Abbott, Matthew",Matthew,,Abbott,2
34012,"Abbott, Sean",Sean,,Abbott,2
51297,Abboud Qanbar,Abboud,,Qanbar,0
490,Abbubaker Mobara,Abbubaker,,Mobara,0
43725,Abbud al-Zumar,Abbud,,al-Zumar,0
491,Abdalelah Haroun Hassan,Abdalelah,Haroun,Hassan,1
492,Abdalla Ahmed,Abdalla,,Ahmed,0
31276,"Abdalla, Chelsea",Chelsea,,Abdalla,2
48302,Abdallah Daar,Abdallah,,Daar,0
493,Abdallah Juma,Abdallah,,Juma,0
494,Abdallah Zohdy,Abdallah,,Zohdy,0
495,Abdel Kader Mohamed,Abdel,Kader,Mohamed,1
496,Abdel Kader Zaddem,Abdel,Kader,Zaddem,1
497,Abdel Razzak Bounour,Abdel,Razzak,Bounour,1
498,Abdelhak Maach,Abdelhak,,Maach,0
499,Abdelkader Hachlaf,Abdelkader,,Hachlaf,0
500,Abdelkhalek El-Banna,Abdelkhalek,,El-Banna,0
501,Abdelmalek Rahou,Abdelmalek,,Rahou,0
24921,"Abdelnour, Gerard E.",Gerard,E,Abdelnour,5
31380,"Abdelnour, Jerry",Jerry,,Abdelnour,2
502,Abdelrahman El-Sayed,Abdelrahman,,El-Sayed,0
503,Abderrahmane Derouaz,Abderrahmane,,Derouaz,0
504,Abderrahmane Sebbar,Abderrahmane,,Sebbar,0
505,Abderrazak Ben Massaoud,Abderrazak,Ben,Massaoud,1
506,Abderrazak Chahat,Abderrazak,,Chahat,0
507,Abderrazak Houya,Abderrazak,,Houya,0
508,Abdeslem Dargouth,Abdeslem,,Dargouth,0
509,Abdessalem Arous,Abdessalem,,Arous,0
53157,Abdool Mudassar Samad,Abdool,Mudassar,Samad,1
37737,"Abdool, Zaheer D.",Zaheer,D,Abdool,5
510,Abdou Fall,Abdou,,Fall,0
511,Abdou Faye,Abdou,,Faye,0
512,Abdou Mamadou Sow,Abdou,Mamadou,Sow,1
513,Abdou Traor,Abdou,,Traor,0
514,Abdoulaye Ba,Abdoulaye,,Ba,0
515,Abdoulaye Thera,Abdoulaye,,Thera,0
516,Abdoullah Bamoussa,Abdoullah,,Bamoussa,0
517,Abdourahman Osman,Abdourahman,,Osman,0
518,Abdul Ahad Kharot,Abdul,Ahad,Kharot,1
519,Abdul Al-Matrouk,Abdul,,Al-Matrouk,0
324,Abdul Artan,Abdul,,Artan,0
520,Abdul Fattah Haona,Abdul,Fattah,Haona,1
521,Abdul Ghafoor,Abdul,,Ghafoor,0
522,Abdul Ghafoor Assar,Abdul,Ghafoor,Assar,1
523,Abdul Ghafoor Khan,Abdul,Ghafoor,Khan,1
53158,Abdul Hafeez Kardar,Abdul,Hafeez,Kardar,1
53492,Abdul Hannan Sarkar,Abdul,Hannan,Sarkar,1
524,Abdul Haseem Khan,Abdul,Haseem,Khan,1
525,Abdul Kader Dabo,Abdul,Kader,Dabo,1
45737,Abdul Koroma,Abdul,,Koroma,0
526,Abdul Mansaray,Abdul,,Mansaray,0
527,Abdul Omar,Abdul,,Omar,0
49223,Abdul Qadeer Khan,Abdul,Qadeer,Khan,1
528,Abdul Qayyum Khan,Abdul,Qayyum,Khan,1
529,Abdul Rahman Mohammed,Abdul,Rahman,Mohammed,1
530,Abdul Rahman Omar,Abdul,Rahman,Omar,1
54020,Abdul Razak Alhassan,Abdul,Razak,Alhassan,1
531,Abdul Razzak Aboobakur,Abdul,Razzak,Aboobakur,1
53159,Abdul Razzaq,Abdul,,Razzaq,0
532,Abdul Razzaq Baloch,Abdul,Razzaq,Baloch,1
53160,Abdul Rehman,Abdul,,Rehman,0
533,Abdul Reza Majdpour,Abdul,Reza,Majdpour,1
43682,Abdul Samay Hamed,Abdul,Samay,Hamed,1
53998,Abdul Shakoor Bangash,Abdul,Shakoor,Bangash,1
534,Abdul Tebazalwa,Abdul,,Tebazalwa,0
535,Abdul Waheed Khan,Abdul,Waheed,Khan,1
48743,Abdulla Shamaal,Abdulla,,Shamaal,0
536,Abdullah Abdulrahman Zeyab,Abdullah,Abdulrahman,Zeyab,1
537,Abdullah Abdulrazaq Mayouf,Abdullah,Abdulrazaq,Mayouf,1
538,Abdullah Abkar Mohammed,Abdullah,Abkar,Mohammed,1
539,Abdullah Al-Shaye,Abdullah,,Al-Shaye,0
540,Abdullah Azzan Al-Akbary,Abdullah,Azzan,Al-Akbary,1
541,Abdullah Basheer Al-Abdullah,Abdullah,Basheer,Al-Abdullah,1
542,Abdullah Ben Sad,Abdullah,Ben,Sad,1
50047,Abdullah CD,Abdullah,,CD,0
543,Abdullah Faraj Masoud,Abdullah,Faraj,Masoud,1
544,Abdullah Khodabandeh,Abdullah,,Khodabandeh,0
46480,Abdullah Mansour,Abdullah,,Mansour,0
545,Abdullah Mussa,Abdullah,,Mussa,0
546,Abdullah Namat,Abdullah,,Namat,0
547,Abdullah Noor Wasughe,Abdullah,Noor,Wasughe,1
548,Abdullah Othman,Abdullah,,Othman,0
47670,Abdullah al-Ahmar,Abdullah,,al-Ahmar,0
549,Abdulrazzaq Murad,Abdulrazzaq,,Murad,0
46808,Abdulsalam Haykal,Abdulsalam,,Haykal,0
53161,Abdur Rauf Khan,Abdur,Rauf,Khan,1
53163,Abdur Rehman,Abdur,,Rehman,0
550,Abdurahman Jallow,Abdurahman,,Jallow,0
38931,Abdus Salam,Abdus,,Salam,0
38120,Abdusalam Abubakar,Abdusalam,,Abubakar,0
551,Abdusalam Hala Gezah,Abdusalam,Hala,Gezah,1
37975,Abe Gelbart,Abe,,Gelbart,0
42269,Abe Gupta,Abe,,Gupta,0
52574,Abe Jacobs,Abe,,Jacobs,0
552,Abe Lenstra,Abe,,Lenstra,0
39456,Abe Sklar,Abe,,Sklar,0
19717,"Abe, Yuske",Yuske,,Abe,2
553,Abebe Gessese,Abebe,,Gessese,0
49555,Abebech Afework,Abebech,,Afework,0
52432,Abed Mahfouz,Abed,,Mahfouz,0
554,Abeer Essawy,Abeer,,Essawy,0
555,Abel Csar Almaraz,Abel,Csar,Almaraz,1
54021,Abel Cullum,Abel,,Cullum,0
51528,Abel Maldonado,Abel,,Maldonado,0
556,Abel Ndenguet,Abel,,Ndenguet,0
557,Abel Nkhoma,Abel,,Nkhoma,0
558,Abel Ortz,Abel,,Ortz,0
46141,Abel Pacheco,Abel,,Pacheco,0
38648,Abel Transon,Abel,,Transon,0
19854,"Abel, Ronald",Ronald,,Abel,2
559,Abelardo Fernndez Antua,Abelardo,Fernndez,Antua,1
21129,"Abella, John D.",John,D,Abella,5
31563,"Abernathy, Deborah L.",Deborah,L,Abernathy,5
23002,"Abernathy, Jason H.",Jason,H,Abernathy,5
27558,"Abernethy, Brogan",Brogan,,Abernethy,2
28519,"Abernethy, Scott D.",Scott,D,Abernethy,5
30339,"Abert, Cheryl",Cheryl,,Abert,2
24374,"Abert, Cheryl A.",Cheryl,A,Abert,5
46257,Abhay Deol,Abhay,,Deol,0
560,Abner Mares Martnez,Abner,Mares,Martnez,1
561,Abock Shoak,Abock,,Shoak,0
